English,standard bangla,garo,marma,chakma
Do you like to travel?,তোমার ভ্রমণ করতে ভালো লাগে?,,,তোর বেড়াদে গম লাগে?
Please give me a pen,দয়া করে আমাকে একটি কলম দিন।,,,হুজুলি গুুরি মরে এক্কান হলম দিজ
What is your phone number?,তোমার ফোন নাম্বার কি?,,,ত ফোন নাম্বার আন হি?
Can I get the Wi-Fi password?,আমি কি ওয়াই-ফাই পাসওয়ার্ড পাবো?,,,মই হি ওয়াই ফাই পাসওয়ার্ড আন পেম?
Where did you learn to cook so well?,তুমি কোথায় এত ভালো রান্না শেখেছো?,,,তুই হুদুু এদক গম বানানা শিক্কোস?
Let's walk,চলো হেঁটে যাই।,,,যেই আদি ইজি
Can I borrow your book?,আমি কি তোমার বই ধার করতে পারি?,,,মুই হি ত বিদ্যা আন ধার লোই পারিম?
I have a day off tomorrow,আমার কাল একদিনের ছুটি আছে।,,,মরে হিল্লি ইজ্ঞু দিনোর ছুটি আগে
"Don't worry, everything will be fine","চিন্তা করো না, সব ঠিক হবে।",,,"চিদে নগুরিস, বেক ঠিক অব"
I have a pet dog,আমার একটি প্রাণি কুকুর আছে।,,,মর ইজ্ঞু হুগুর আগে
I have a job interview today,আমার আজ একটি চাকরির ইন্টারভিউ আছে।,,,মোর ইচ্ছি ইজ্ঞু চাকরির ইন্টারভিউ আগে
What is your favorite season?,তোমার প্রিয় ঋতু কি?,,,ত প্রিয় ঋতু আন হুবু?
Do you have any plans for the weekend?,তোমার সপ্তাহান্তের কোন পরিকল্পনা আছে?,,,তর এই সাপ্তাত হনো পরিকল্পনা আগে?
Can you recommend a good restaurant?,আপনি একটি ভালো রেস্তোরাঁ সুপারিশ করতে পারবেন?,,,তুই হি হনো গম রেস্টুরেন্টোর সুপারিস গুরি পারিবি?
How do you commute to work?,আপনি কিভাবে কাজে যাওয়ার জন্য যান?,,,তুই হেঙোরি হামত যাস
I am learning Bengali,আমি বাঙালি শেখছি।,,,মুই বাংলা শিক্কোঙ
What is your favorite book?,তোমার প্রিয় বই কী?,,,ত প্রিয় বই আন হি।
Can I have some time with you?,আমি কি তোমার একটু সময় পেতে পারি?,,,মুই হি তত্তুন এক্কা সময় পেম ? 
I have a cold,আমার ঠান্ডা হয়েছে।,,,মর জুরো উয়ে। 
Where did you spend your childhood?,তুমি কোথায় তোমার শিশুত্ব কাটিয়েছিলে?,,,তুই ত শিগনহাল আন হুদু এলে
What animals do you have?,তোমার কোন প্রাণি আছে?,,,তর হন এমান ও আগে? 
It is a beautiful day today,এটি আজ একটি সুন্দর দিন।,,,ইচ্চে এক্কো দোল দিন 
Could you please pass me the newspaper?,তুমি দয়া করে আমাকে সংবাদপত্র পাস করতে পারো?,,,তুই হি মরে হুজুলি গুরি সংবাদপত্র আন দি পারিবি?
I am going to the market,আমি বাজারে যাচ্ছি।,,,মুই বাজারত জাংঅর
Do you like dancing?,তোমার নাচতে ভালো লাগে?,,,তর নাজদে গম লাগে?  
I need a new pair of shoes,আমার একটি নতুন জুতা দরকার।,,,মর একজুর নো চপ্পল লাইবো
I need to see a dentist today,আমার আজকে একজন দাঁতের ডাক্তারকে দেখানো লাগবে।,,,মর ইচ্চে ইক্কো দাদ ও ডাক্তর দেগা পুরিবো
The nearest bus is,সবচেয়ে কাছের বাস,,,বেগো হায় বাস
Can I have a piece of cake?,আমি একটি টুকরা কেক পাবো?,,,মুই এগ হত্তা কেক পেম
I love to listen to music,আমি সুরের শোনা অভিজ্ঞান করতে ভালোবাসি।,,,মুই গান ও সুর চুনদে গম পাং
I am going to visit my grandparents,আমি আমার দাদা-দাদি দেখতে যাচ্ছি।,,,মুই ম আজু নানুরে চা জাংঅর 
Where did you go on your last vacation?,তুমি তোমার শেষ ছুটিতে কোথায় গিয়েছিলে?,,,তুই ত শেজ চুটিত হুদু জিওচ?
Can you teach me how to cook?,আপনি কি আমাকে তার কোকিং শেখাতে পারবেন?,,,
I'm going to the library,আমি লাইব্রেরিতে যাচ্ছি।,,,মুই লাইব্রেরিত জাংঅর
What is the capital of Bangladesh?,বাংলাদেশের রাজধানী কী?,,,বাংলাদেজর রাজধানী হী?
I like to take a nap in the afternoon,আমি অপরাহ্ণে একটি ঘুম নেওয়া পছন্দ করি।,,,মুই সাজন্নে মাদান গুম জাদে গম পাং
Do you have any allergies?,তোমার কোন অ্যালার্জি আছে?,,,তর হন এ্যালার্জি আগন?
I don't like spicy food,আমি তীক্ষ্ণ খাবার পছন্দ করি না।,,,মুই তীক্ষ্ম হানা গম নোপাঙ
What is the purpose of your visit?,আপনার আগমনের উদ্দেশ্য কি?,,,তর ইদু এজানা হারন হি?
Can you recommend a good movie?,আপনি কি একটি ভালো চলচ্চিত্র সুপারিশ করতে পারবেন?,,,তুই ইক্কো গম বই ও নাম হই পারিবে?
I'm going to a wedding tomorrow,আমি আগামীকাল একটি বিয়েতে যাচ্ছি।,,,মুই হিল্লে এক্কান মেলাত জাংঅর
Do you prefer tea or coffee?,আপনি কি চা না কফি পছন্দ করেন?,,,তর চা নাহি কফি হুবান গম লাগে? 
I like to exercise in the morning,আমি সকালে ব্যায়াম করতে পছন্দ করি।,,,মুই বিন্নে বেয়াম গত্তে গম পাং
Can I get some more?,আমি কি আর থোড় পাবো?,,,
A friend of mine is from Bangladesh,আমার একজন বন্ধু বাংলাদেশ থেকে এসেছে,,,মর ইক্কো সমাজ্জে বাংলাদেজত্তুন ইচ্চে 
I like to read books before bed,আমি ঘুমের আগে বই পড়তে পছন্দ করি।,,,মর গুম জেবার আগে বই পরদে গম লাগে 
Can you recommend a good restaurant?,আপনি কি ভালো একটি রেস্তোরাঁ সুপারিশ করতে পারবেন?,,,তুই মরে এক্কান গম হোটেল দেগে দি পারিবে? 
I'm going to watch a movie tonight,আমি আজ রাতে একটি চলচ্চিত্র দেখতে যাচ্ছি।,,,মুই ইচ্চে রেদত ইক্কো বই সা জাংঅর 
What is your favorite type of music?,তোমার প্রিয় সঙ্গীতের ধরণ কি?,,,তুই হিদিক্কে গীত গম পাচ?
I need to buy a birthday present,আমার একটি জন্মদিনের উপহার কিনতে হবে।,,,মর এক্কান জন্মদিনো বকশিস হিনা পুরিবো
May I have your email address?,আমি কি তোমার ইমেইল ঠিকানা পাবো?,,,মরে ত ই-মেইল ঠিকানা আন পেম?
It's time to go to bed.,ঘুমাতে যাওয়ার সময় হয়েছে।,,,গুম জেবার সময় উয়ে 
What date is it today?,আজ কি তারিখ?,,,ইচ্চে হয় তারিখ? 
I have a lot of work to do.,আমার অনেক কাজ করতে হবে।,,,মর বহুত হাম গরা পুরিবো
My favorite color is blue.,আমার প্রিয় রঙ নীল।,,,মর এ্যল রং দোল দেগং
Can you please repeat that?,আপনি কি দয়া করে এটা পুনরায় বলতে পারেন?,,,তুই এ হদা আন মরে আর অ্যাকবার হই পারিবে?
Let's go for a drive.,চলো ড্রাইভে যাই।,,,ড্রাইব ওত যেই
I need to make a phone call.,আমার ফোন কল করতে হবে।,,,মর  ফোন গরা পুরিবো
My birthday is in June.,আমার জন্মদিন জুনে।,,,মর জনমদিন জুনত
Could you please turn off the light?,আপনি কি দয়া করে আলোক বন্ধ করতে পারবেন?,,,তুই হচ্ত গুরি লাইত্তো মারে দি পারিবে? 
I'm looking for a new job.,আমি একটি নতুন চাকরি খুঁজছি।,,,মুই এক্কান নো চাগুরি তোগাংঅর 
How are you feeling right now?,তুমি এখন কেমন অনুভব করছো?,,,তর ইক্কু হিদিক্কে লাগের? 
I don't like spicy food.,আমি তীক্ষ্ণ খাবার খেতে পছন্দ করি না।,,,মুই তীক্ষ্ম হানা হাদে গম নোপাঙ
Can you teach me how to drive?,আপনি কি আমাকে গাড়ি চালানো শেখাতে পারবেন?,,,তুই মরে গারি চালানা চেগে পারিবে? 
What is your favorite sport?,তোমার প্রিয় খেলা কী?,,,তুই হন হেলা আন গম পাজ?
Please close the door behind you.,দয়া করে তোমার পিছনে দরজা বন্ধ করো।,,,হচ্ত গুরি পিচ্চেন্দি দরজা আন বন্ধ গুরি পারিবে? 
How do you get to work every day?,আপনি কীভাবে প্রতিদিন কাজে যাওয়া হয়?,,,  তুই নিত্য হিং ইরি হামত যাজ?
My favorite animal is a dog.,আমার প্রিয় প্রাণী একটি কুকুর।,,,মুই হুগুর গম পাং
I'm thinking of going on vacation.,আমি ছুটিতে যাবো ভাবছি।,,,মুই চুটিত জেম্বোই মনে অয়
Can you please speak more slowly?,আপনি কি দয়া করে ধীরে ধীরে কথা বলতে পারেন?,,,তুই এক্কা লারে লারে হদা হ
How was your weekend?,তোমার সপ্তাহান্ত কেমন ছিল?,,,ত সাপ্তাবো হিদিক্কে জিয়ে
I need to be picked up at the airport.,আমাকে বিমানবন্দরে যাতে হবে।,,,মর বিমান বন্দরত যা পুরিবো
What is your favorite hobby?,তোমার প্রিয় শখ কী?,,,তর শখ হি?
Please wait here for me.,দয়া করে আমার এখানে অপেক্ষা করুন।,,,হচ্ত গুরি মরে এক্কা ইওদ বাচ্চে তাক
I need to buy a new phone.,আমার একটি নতুন ফোন কিনতে হবে,,,মর এক্কান নো ফোন হিনা পুরিবো
What is your favorite food?,তোমার প্রিয় রকমের খাবার কী?,,,তর হন হানা আন গম লাগে? 
I'm going to the gym.,আমি জিমে যাচ্ছি।,,,মুই জিমত জাংঅর
Can I have more coffee?,আমি কি আর কফি পাবো?,,,মুই হি আর এক্কা কফি পেম
How do you spend your evenings?,তুমি কীভাবে তোমার সন্ধ্যায় সময় কাটাও?,,,ত সাজন্নে সময় আন হিং ইরি হাদাস? 
I love watching Twilight.,আমি গোধূলি দেখতে ভালোবাসি।,,,মর সাজন্নে মাদান গম লাগে
Can you recommend a good book to read?,আপনি কি একটি ভালো বই পড়ার জন্য সুপারিশ করতে পারবেন?,,,মরে ইক্কো গম বই ও নাম হই দে 
I need a vacation.,আমার একটি ছুটি দরকার।,,,মর ইক্কো ছুটি দরকার
My favorite subject is science.,আমার প্রিয় বিষয় বিজ্ঞান।,,,মর বিজ্ঞান সাবজেক্ট  ও গম লাগে 
Can you help me with my homework?,আপনি কি আমার বাড়ির কাজে সাহায্য করতে পারবেন?,,,তুই হি ম গর হামত বল দি পারিবে? 
I don't like getting up early.,আমি ভোরে উঠতে পছন্দ করি না।,,,মুই বিন্নে পুত্তে উদদে গম পাং
I'm going to a concert tonight.,আমি আজ রাতে একটি সঙ্গীতানুষ্ঠানে যাচ্ছি।,,,মুই ইচ্ছে এক্কান কনসার্ট ওত জাংঅর
Where did you go on your last vacation?,তুমি তোমার শেষ ছুটিতে কোথায় গিয়েছিলে?,,,তুই ত শেষ ছুটি আনত হুদু যিয়োজ?
What's your favorite movie?,তোমার প্রিয় চলচ্চিত্রের ধরণ কী?,,,ত প্রিয় চলচিত্র আন হিদিক্কিন?
Can you recommend a good place to eat?,আপনি কি ভালো খাওয়ার জন্য একটি ভালো স্থান সুপারিশ করতে পারবেন?,,,মরে গম হানা দোগান একক্কান দেগা
I have an appointment with a dentist tomorrow.,আমার আগামীকাল একজন দাঁতের ডাক্তারের সাথে দেখা করার কথা।,,,মর হিল্লে ইক্কো দাদ ও ডাক্তর লই দেগা গুরিবার হদা 
Can I get a glass of water?,আমি কি একটি গ্লাস পানি পাবো?,,,মুই এক গ্লাচ পানি পেম
I'm going to see my family next week.,আমি পরের সপ্তাহে আমার পরিবার দেখতে যাচ্ছি।,,,মুই এজেত্তে সাপ্তাত ম পরিবার সা জাংঅর
Do you have any plans for the evening?,তোমার সন্ধ্যায় কোন পরিকল্পনা আছে?,,,তর সাজন্নে হন হাম আগে? 
What's your favorite weather?,তোমার প্রিয় আবহাওয়ার ধরণ কী?,,,ত প্রিয় দেবা আন হি?
Please consider me your relative.,দয়া করে আমাকে তোমার স্বজন মনে করো।,,,তুই মরে ত সদর মানুজ মনে গুরিজ 
Will I get the bill?,আমি কি বিল পাবো?,,,মুই হি বিল পেম?
I'm going to the theater tonight.,আমি আজ রাতে নাট্যশালাতে যাচ্ছি।,,,ইচ্চে রেদত নাট্যশালাত জাংঅর
What's your favorite holiday?,তোমার প্রিয় ছুটি কী?,,,তর হন বন্ধ বো গম লাগে?
I'm going to a party tomorrow.,আমি আগামীকাল একটি পার্টিতে যাচ্ছি।,,,মুই হিল্লে ইক্কো পর্টিত জাংঅর
What do you like to cook?,তুমি কী রান্না করতে পছন্দ করো?,,,তুই হি রানদে গম পাচ?
I'm going to the beach this week.,আমি এই সপ্তাহে সৈকতে যাচ্ছি।,,,মুই এ সাপ্তাত সাগরত জাংঅর
I need to do some shopping.,আমার কিছু কেনাকাটা করতে হবে।,,,মর হিজু হিনা পুরিবো
What's your favorite music?,তোমার প্রিয় সঙ্গীতের ধরণ কী?,,,ত প্রিয় গান আন হিদিক্কিন?
I'm going to a wedding next month.,আমি পরের মাসে একটি বিয়েতে যাচ্ছি।,,,সামনে মাজত মুই এক্কান মেলাত জংঅর
Can you recommend a good place to visit?,আপনি কি একটি ভালো দর্শনীয় স্থান সুপারিশ করতে পারবেন?,,,মরে এক্কান দোল বেরেবার জাগা দেগে দে
I need to buy a new laptop.,আমার একটি নতুন ল্যাপটপ কিনতে হবে।,,,মর এক্কান নো ল্যাপটপ লাগিবো
What's your favorite type of dessert?,তোমার প্রিয় মিষ্টান্নের ধরণ কী?,,,তুই হন মিষ্টি বো গম পাজ
Could you please try turning up the volume?,আপনি কি দয়া করে ভলিউম বাড়ানোর চেষ্টা করতে পারেন?,,,তুই এক্কা সাউন্ড ও বারা 
I have a job interview next week.,আমি পরের সপ্তাহে একটি চাকরির ইন্টারভিউ দিতে যাচ্ছি।,,,মুই সামনে মাজত এক্কান ইন্টারভিউ দে জাংঅর
What's your favorite type of exercise?,তোমার প্রিয় ব্যায়ামের ধরণ কী?,,,তর হন ব্যায়াম আন গম লাগে?
Please make a reservation for two.,দয়া করে দুইটির জন্য রিজার্ভেশন করুন।,,,হুজুলি গুরি হংঅর দিবে রিজার্ব গুরি দে
I'm going to a business meeting tomorrow.,আমি আগামীকাল একটি ব্যবসায়িক মিটিংয়ে যাচ্ছি।,,,মুই হিল্লে এক্কান ব্যবসা মিটিং ওত জাংঅর
Can you hold my bag for me?,আপনি কি আমার সাথে আমার ব্যাগ ধরতে পারবেন?,,,ম লগে বেক্কো এক্কা দরি পারিবে
What's your favorite type of fruit?,তোমার প্রিয় ফলের ধরণ কী?,,,তুই হন ফল্লো গম পাজ?
I'm going to the park with my friends.,আমি আমার বন্ধুদের সাথে পার্কে যাচ্ছি।,,,ম সমাজ্জে উনো লগে পার্কত জাংঅর 
Could you please pass me the menu?,আপনি কি দয়া করে আমাকে মেনু পাস করতে পারবেন?,,,মরে ইন্দি মেনু আন বাগে দে 
I'm going to a music concert next month.,আমি পরের মাসে একটি সঙ্গীত কনসার্টে যাচ্ছি।,,,মুই পর মাজত ইজ্ঞু গানো কন্সার্টত যাঙর
What's your favorite type of flower?,তোমার প্রিয় ফুলের ধরণ কী?,,,তর হন ফুল্ল গম লাগে? 
Please take off your shoes before you enter.,দয়া করে ঢুকার আগে আপনার জুতা খুলুন।,,,গরত সুমিবার আগে চপ্পল আনি হুল
I'm going to a comedy show tonight.,আমি আজ রাতে একটি কমেডি শোয়ে যাচ্ছি।,,,ইচ্চে রেদোত কমেডি শো সা জাংঅর
I need to buy a new shirt.,আমার একটি নতুন জামা কিনতে হবে।,,,মর ইক্কো নো সুলুম হিনা পুরিবো
What's your favorite type of art?,তোমার প্রিয় শিল্পের ধরণ কী?,,,ত প্রিয় শিল্প আন হিদিক্কিন?
Can you please help me with my computer?,আপনি কি দয়া করে আমার কম্পিউটারে সাহায্য করতে পারেন?,,,মরে এক্কা কম্পিউটার ওত বল দে
I'm going to a museum next week.,আমি পরের সপ্তাহে একটি জাদুঘরে যাচ্ছি।,,,সামনে সাপ্তাদ জাদুগরত জেম
Please take a seat and make yourself happy.,দয়া করে একটি সীট নিন এবং নিজেকে সুখী করুন।,,,
I'm going hiking in the mountains.,আমি পাহাড়ে হাইকিং করতে যাচ্ছি।,,,মুই মুরত উদিবার যাঙর।
Could you please pass me the remote control?,আপনি কি দয়া করে আমাকে রিমোট কন্ট্রোল পাস করতে পারবেন?,,,তুই হি মরে হুজুলি গুরি রিমোট কন্ট্রোল আন দি পারিবি?
I'm going to a dance performance next month.,আমি পরের মাসে একটি নৃত্য প্রদর্শনে যাচ্ছি।,,,মুই পর মাজত ইজ্ঞু নাজিয়ে অনুষ্ঠান চেবার যাঙর।
What's your favorite type of drink?,তোমার প্রিয় পানের ধরণ কী?,,,ত প্রিয় পান আন হিদিক্কিন?
I'm going to a seminar on effective learning apps.,আমি একটি কার্যকর শেখা অ্যাপস নিয়ে একটি সেমিনারে যাচ্ছি।,,,মুই ইজ্ঞু কার্যকর শিগিবার এপস লোনেলই ইজ্ঞু সেমিনারঙ যাঙর
I'm going to a sporting event this week.,আমি এই সপ্তাহে একটি খেলার ঘটনায় যাচ্ছি।,,,মুই এই সাপ্তাত ইজ্ঞু হিলিবায় ঘটনাত যাঙর
What's your favorite type of bread?,তোমার প্রিয় রকমের রুটি কী?,,,ত প্রিয় রুটি আন হিদিক্কিন?
Please don't be late.,দয়া করে দেরি করবেন না।,,,হুজুলি গুরি দেরি নগুরিজ
I'm going to a film screening next month.,আমি পরের মাসে একটি ছবির প্রদর্শনীতে যাচ্ছি।,,,মুই পর মাজত ইজ্ঞু ছবি প্রদর্শনীত যাঙর
Could you please pass me the salad?,আপনি কি দয়া করে আমাকে সালাদ পাস করতে পারবেন?,,,তুই হি মরে হুজুলি গুরি ইজ্ঞু সালাত দি পারিবি?
I'm going to a comedy club tonight.,আমি আজ রাতে একটি কমেডি ক্লাবে যাচ্ছি।,,,মুই ইচ্ছি রেডত ইজ্ঞু কমেডি ক্লাবত যাঙর
What's your favorite type of pasta?,তোমার প্রিয় রকমের পাস্তা কী?,,,ত প্রিয় পাস্তা আন হিদিক্কিন?
What's your favorite language learning app?,তোমার প্রিয় ভাষা শেখার জন্য অধ্যয়ন অ্যাপ কী?,,,ত প্রিয় ভাষা শিগিবার হনো এপস আগে?
I'm going to a cooking class next week.,আমি পরের সপ্তাহে একটি রান্নার ক্লাসে যাচ্ছি।,,,মুই পর সাপ্তাত ইজ্ঞু তোন রানানা শিগিবার ক্লাসত যাঙর
What's your favorite type of vegetable?,তোমার প্রিয় সবজির ধরণ কী?,,,ত প্রিয় সবজি আন হিদিক্কিন?
"Please stay calm, I'm concentrating.","দয়া করে শান্ত থাকুন, আমি মনোনিবেশ করছি।",,,"হুজুলি গুরি জুরো থাক, মুই মনোসংযোগ গরঙর"
I'm going to a film festival next month.,আমি পরের মাসে একটি চলচ্চিত্র উৎসবে যাচ্ছি।,,,মুই পর মাজত ইজ্ঞু চলচিত্র উৎসবত যাঙর 
I'm going to a charity event next week.,আমি পরের সপ্তাহে একটি চ্যারিটি ইভেন্টে যাচ্ছি।,,,মুই পর সাপ্তাত ইজ্ঞু চ্যারিটি ইভেন্ট যাঙর 
What's your favorite type of chocolate?,তোমার প্রিয় চকোলেটের ধরণ কী?,,,ত প্রিয় চগলেট আন হিদিক্কিন?
Can you recommend a good place to have a chat?,আপনি কি একটি ভালো স্থান সুপারিশ করতে পারেন একটি চক্রান্তন করার জন্য?,,,তুই হি মরে ইজ্ঞু গম যাগা সুপারিশ গুরি পারিবি ইজ্ঞু চক্রান্ত  গুরিবার লাই
Turn off your phone during the meeting.,মিটিং সময়ে আপনার ফোন বন্ধ করুন।,,,মিটিং ও সময়ত ত ফোন আন বন্ধ গুরিস
I'm going to a fashion show next month.,আমি পরের মাসে একটি ফ্যাশন শোয়ে যাচ্ছি।,,,মুই পর মাজত ইজ্ঞু ফ্যাশন শোত যাঙর
What's your favorite kind of soup?,তোমার প্রিয় সুপের ধরণ কী?,,,ত প্রিয় সুপ আন হিদিক্কিন
Can you please pass me the butter?,আপনি কি দয়া করে আমাকে মাখন পাস করতে পারবেন?,,,"তুই হি মরে হুজুলি গুরি, মাখন আন দি পারিবি?"
I'm going to a technology conference next week.,আমি পরের সপ্তাহে একটি প্রযুক্তি কনফারেন্সে যাচ্ছি।,,,মুই পরে সাপ্তাত ইজ্ঞু প্রযুক্তি কনফারেন্স ওত যাঙর
What's your favorite kind of sandwich?,তোমার প্রিয় স্যান্ডউইচের ধরণ কী?,,,ত প্রিয় স্যান্ডউইচ আন হিদিক্কিন? 
"Please don't leave me alone, I'm working."," দয়া করে আমাকে বিচ্ছেদ করবেন না, আমি কাজ করছি।",,,"হুজুলি গুরি মরে বিচ্ছেদ নগুরিস, মুই হাম গরঙর"
I'm going to a poetry reading event next month.,আমি পরের মাসে একটি কবিতা পড়ার ইভেন্টে যাচ্ছি।,,,মুই পর মাজত ইজ্ঞু কবিতা পুড়িবার ইভেন্ট যাঙর। 
What's your favorite kind of ice cream?,তোমার প্রিয় আইস ক্রিমের ধরণ কী?,,,ত প্রিয় আইস্ক্রিম আন হিদিক্কিন? 
Please remember to hold the door open.,দয়া করে দরজা তুলে রাখতে ভুলবেন না।,,,হুজুলি গুরি দরজা আন তুলি রাগদে নোভুলিজ
I'm going to a wine tasting event next week.,আমি পরের সপ্তাহে একটি মদ চেষ্টা করার ইভেন্টে যাচ্ছি।,,,মুই পরে সাপ্তাত ইজ্ঞু মদ চেষ্টা গুরিবার ইভেন্ট যাঙর।
I'm going to a meditation retreat next month.,আমি পরের মাসে একটি ধ্যান অবস্থানে যাচ্ছি।,,,মুই পর মাজত ইজ্ঞু ধ্যানত যাঙর
Can you please pass me the ketchup?,আপনি কি দয়া করে আমাকে কেচাপ পাস করতে পারবেন?,,,তুই হি মরে হুজুলি গুরি ইজ্ঞু কেচ আপ দি পারিবি? 
Can you please pass me the napkin?,আপনি কি দয়া করে আমাকে ন্যাপকিন পাস করতে পারবেন?,,,তুই হি মরে হুজুলি গুরি ইজ্ঞু ন্যাপকিন দি পারিবি? 
I'm going to a book club meeting next week.,আমি পরের সপ্তাহে একটি বই ক্লাব মিটিংয়ে যাচ্ছি।,,,মুই পরে সাপ্তাত ইজ্ঞু বই ক্লাবর মিটিং ওত যাঙর 
What's your favorite kind of juice?,তোমার প্রিয় রসের ধরণ কী?,,,ত প্রিয় রস আন হিদিক্কিন? 
"Please, I'm talking and you're listening.",দয়া করে আমি কথা বলছি এবং আপনি আমার কথা বুঝতে দেখছেন।,,,হুজুলি গুরি মুই হদা হঙর আর তুই ম হদা আন বুঝিবার চর
I'm going to a gardening workshop next month.,আমি পরের মাসে একটি বাগান করার কারখানা যাচ্ছি।,,,মুই পর মাজত ইজ্ঞু বাগান গুরিবার কারখানাত যাঙর
What's your favorite kind of cake?,তোমার প্রিয় কেকের ধরণ কী?,,,ত প্রিয় কেক আন হিদিক্কিন? 
Can you recommend a good place to have a picnic?,আপনি কি একটি ভালো স্থান সুপারিশ করতে পারেন একটি পিকনিক করার জন্য?,,,তুই হি মরে ইজ্ঞু গম যাগা সুপারিশ গুরি পারিবি পিনিকর লাই
I'm going to a technology expo next week.,আমি পরের সপ্তাহে একটি প্রযুক্তি এক্সপোতে যাচ্ছি।,,,মুই পর সাপ্তাত ইজ্ঞু প্রযুক্তি এক্সপোত যাঙর
What is your favorite type of wine?,তোমার প্রিয় মদের ধরণ কী?,,,ত প্রিয় মদ আন হিদিক্কিন 
Can you please pass me the salt and pepper?,আপনি কি দয়া করে আমাকে লবণ এবং মরিচ পাস করতে পারবেন?,,,তুই হি মরে হুজুলি গুরি মরিচ আর নুন আন দি পারিবি?
I'm going to a movie premiere next month.,আমি পরের মাসে একটি চলচ্চিত্র প্রিমিয়ারে যাচ্ছি।,আম্বুন শট্নিও গিশা সিনেমা প্রিমিয়ার ছা রিয়াং নো,,মুই পর মাজত ইজ্ঞু চলচিত্র প্রিমিয়ারত যাঙর।
What is your favorite type of biscuit?,তোমার প্রিয় বিস্কুটের ধরণ কী?,নাঙনি সীনবাদ গুব্বা বিস্কিট বাগুবা?,,ত প্রিয় বিস্কুট আন হিদিক্কন ?
What is your favorite type of vegetable?,তোমার প্রিয় সবজির ধরণ কী?,নাঙনি সীনবাদ গুব্বা সামবিজাক বাগুবা?,,ত প্রিয় সবজি আন হিদিক্কন?
Can you recommend a good place to go hiking?,আপনি কি একটি ভালো স্থান সুপারিশ করতে পারেন একটি হাইকিং করার জন্য?,হাইকিং দাগনা নি নাম্মা আ•দাম নি বিমুং কো আগন্না মান্নো?,,তুই হি মরে ইজ্ঞু গম যাগা সুপারিশ গুরি পারিবি হাইকিং অর লাই।
I'm going to a comedy movie tonight.,আমি আজ রাতে একটি কমেডি চলচ্চিত্রে যাচ্ছি।,দশাল ওল্লু অঙ্গা কমেডি সিনেমা নিনা রেয়াং নো,,মুই ইচ্ছি রেডত ইজ্ঞু কমেডি চলচিত্র যাঙর।
What is your favorite type of sauce?,তোমার প্রিয় সসের ধরণ কী?,নাঙনি সীনবাদ গুব্বা সস বাগুবা?,,ত প্রিয় সস আন হিদিক্কন?
What is your favorite type of juice?,তোমার প্রিয় রসের ধরণ কী?,না•আ মনি বিচ্চি কো সিন্না?,,ত প্রিয় রস আন হিদিক্কিন? 
Could you please make a photocopy of this document?,আপনি কি দয়া করে এই দস্তাবেজের একটি ফটোকপি তৈরি করতে পারেন?,না•আ কা•সাপয় বা ডকুমেন্ট নি ফটোকপি দাগগি হন্না মান্নো?,,তুই হি মরে হুজুলি গুরি এই দস্তাবেজর ইজ্ঞু ফটোকপি দি পারিবি?
I'm going to a poetry slam tonight.,আমি আজ রাতে একটি কবিতা স্ল্যামে যাচ্ছি।,অঙ্গা দা•শাল ওল্লু গিশা কমেডি স্লাম ছা রিয়াং নো,,মুই ইচ্ছি রেডট ইজ্ঞু কবিতা স্লামত যাঙর।
What is your favorite type of coffee?,তোমার প্রিয় কফির ধরণ কী?,নাঙনি সীনবাদ গুব্বা কফি বাগুবা?,,ত প্রিয় কফি আন হিদিক্কন?
I need to buy a new phone charger.,আমার একটি নতুন ফোন চার্জার কিনতে হবে।,অঙ্গ•না গিশা গিতাল ফোন নি চার্জার ব্রি•না নাং নো,,মর ইজ্ঞু নুয়ো ফনো চার্জার হিনা পুরিবু।
I need to buy a new phone charger.,আমার একটি নতুন ফোন চার্জার কিনতে হবে।,অঙ্গ•না গিশা গিতাল ফোন নি চার্জার ব্রি•না নাং নো,,মর ইজ্ঞু নুয়ো ফনো চার্জার হিনা পুরিবু।
What is your favorite type of sport?,তোমার প্রিয় খেলার ধরণ কী?,না•আ বাগুবা খাল্লা সীনবাদ•দা?,,ত প্রিয় হারা আন হিদিক্কন?
Could you please close the window?,আপনি কি দয়া করে জানালাটি বন্ধ করতে পারবেন?,কাসা পাই কেলকি কো চিপচাং না মান্নো?,,তুই হি হুজুলি গুরি জানালা  আন বন্ধ গুরি পারিবি?
I'm going to a comedy club next week.,আমি পরের সপ্তাহে একটি কমেডি ক্লাবে যাচ্ছি।,আম্বুন শট্নিও গিশা কমেডি ক্লাব ছা রিয়াং নো।,,মুই পর সাপ্তাত কমেডি ক্লাবত যাঙর।
What is your favorite type of pizza?,তোমার প্রিয় পিজার ধরণ কী?,না•আ বাদাগা পিজ্জা কো সিন্না?,,ত প্রিয় পিজা আন হিদিক্কন।
I'm going to a dance performance next month.,আমি পরের মাসে একটি নৃত্য প্রদর্শনে যাচ্ছি।,আম্বুন যাসাও রোয়া নিনা রিয়াং নো।,,মুই পর মাজত ইগু নৃত্য প্রদর্শনীত যাঙর।
What is your favorite type of dessert?,তোমার প্রিয় ডিজার্টের ধরণ কী?,নাঙনি সীনবাদ গুব্বা ডেজার্ট বাগুবা?,,ত প্রিয় ডিজার্ত আন হিদিক্কন?
